id,category,keywords,"Arts, Crafts, Music and Drama;",Community resouces;,Day opportunities;,Entertainment and leisure;,Social groups;,Support and community groups;,Support and assistance;,Young people's activities;,legacy_categories,area,parent_organisation,name,Monday;,Tuesday;,Wednesday;,Thursday;,Friday;,Saturday;,Sunday;,days,daytime,frequency,venue,postcode,price,contact_name,phone,url,email,description,last_updated,review_date,review_notes,assigned_to,review_number,Young people;,Young adults;,Older adults;,age_groups,Autism;,Dementia;,Learning difficulties;,Mental health;,Older people;,Physical disability;,Hearing or visual impairment;,suitability,vol_dbs_check,safeguarding,health_safety,insurance,accessibility,clo_notes,laf_area,ccg_locality,review_status
3004,Active,Exercise,,,,Entertainment and leisure;,,,,,Entertainment and leisure;,Buckingham,,Buckingham and Stowe Running Club,Monday;,Tuesday;,,Thursday;,,,Sunday;,Monday;Tuesday;Thursday;Sunday;,TRUE,"Monday, Tuesday, Thursday 18:45, Sunday mornings","Waitross Car Park, Meadow Walk, Buckingham",MK18 1RS,,on line,,https://buckinghamrunningclu.ipage.com,buckinghamrunningclub@hotmail.co.uk,All abilities from outright beginners who have just taken up running to those who run over 40 marathons a year!,29/3/2019,,2019-03-29 JAL - data acquired from their website,,8,Young people;,Young adults;,Older adults;,Young people;Young adults;Older adults;,,,,,,,,,,,,,,,Buckingham,AV North,New Entry
3005,Support,Support,,,,,,,Support and assistance;,,Support and assistance;,Countywide,Amicus Trust,,Monday;,Tuesday;,Wednesday;,Thursday;,Friday;,Saturday;,Sunday;,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;,FALSE,Daily,"Cublington House, Bucks",HP20 1UA,,,01234 358478,https://www.amicustrust.org/news/cublington-veteran-accommodation/,info@amicustrust.org,"Working to help the homeless in  Buckinghamshire. If you are veteran of the UK armed forces and are homeless or at risk of homelessness, Amicus Trust is here to support you",28/3/2019,,2019-03-29 JAL - data acquired from flyer and verified by their website,,,,Young adults;,Older adults;,Young adults;Older adults;,,,,Mental health;,,,,Mental health;,,,,,,,Countywide,Countywide,New Entry
3006,Learning,Support,,,,Entertainment and leisure;,,Support and community groups;,Support and assistance;,,Entertainment and leisure;Support and community groups;Support and assistance;,Stoke Hammond,,Innovations,Monday;,Tuesday;,Wednesday;,Thursday;,,,,Monday;Tuesday;Wednesday;Thursday;,TRUE,"Monday, Tuesday, Wednesday, Thursday 09:30-15:30","Stoke Hammond Community Centre, Bragenham Side, Stoke Hammond",MK17 9DB,,Alison Bentley / Yvonne Patel,07846 338153 / 07714 664716,https://www.innovation-wow.com,info@innovations-wow.com,Innovations - Enterprise .Ideas. Opportunities . Progression. a project that enables people with support needs to explore life and employability skills through enterprise and vocational pathways,29/3/2019,,2019-03-29 JAL - BOD feedback,,8,,Young adults;,Older adults;,Young adults;Older adults;,,,,,,,,,,,,,,,"Great Brickhill, Wing & Ivinghoe",AV North,New Entry
3007,Active,Exercise;Music/Drama,"Arts, Crafts, Music and Drama;",,,Entertainment and leisure;,Social groups;,,,,"Arts, Crafts, Music and Drama;Entertainment and leisure;Social groups;",Weedon,,ChiChi-Fit Musical Theatre Dance Fitness Classes,,Tuesday;,Wednesday;,,,,,Tuesday;Wednesday;,TRUE,"Tuesday 19:30-20:15, Wednesday 10:30-11:15","Weedon Old Schoolroom, High Street, Weedon",HP22 4NW,,Lauren Garraghan,07814 56126,https://www.chichi-fit.co.uk,lauren@chichi-fit.co.uk,"Shimmy, sweat and sparkle your way to a happier you with this unique form of fitness. Burn calories whilst dancing along to your favourite showtunes. Contact Lauren to book in for your FREE TRIAL CLASS. Tuesday 1 in 4 starts at 18:30",18/3/2019,,2019-03-29 JAL - BOD feedback,,8,,Young adults;,Older adults;,Young adults;Older adults;,,,,,,,,,,,,,,,Greater Aylesbury,AV Central,New Entry
3008,Active,Exercise,,,,Entertainment and leisure;,,,,,Entertainment and leisure;,Hazlemere,,Hazlemere Runners,,,,,,,,,FALSE,,"The Memorial Hall, Hazlemere Recreation Ground, Amersham Road, Hazlemere",HP15 7AX,,Imelda Robinson,01494 712662,https://Hazlemererunners.org,hazlemererunners@hotmail.com,Free 0-5K run coaching by qualified leaders and coaches together with a very low (£30 per annum inc £15 England Athletics membership fee) membership to support improving runners following the beginners course,25/3/2019,,2019-03-29 JAL - Direct contact following an NHS workshop,,,,Young adults;,Older adults;,Young adults;Older adults;,,,,,,,,,,,,,,,Chepping Wye Valley,Wooburn Green,New Entry
3009,Active,Exercise,,,,Entertainment and leisure;,,,,,Entertainment and leisure;,Buckingham,,Yoga with Eva,Monday;,,,,,,,Monday;,TRUE,Monday 09:30-11:00,"Committee Room, Lace Hill Community Centre, Catchpin Street, Buckingham
Buckingham",MK18 7RR,£8,,,https://www.evayoga.co.uk,via website,"If you want to de-stress, look after your back, work on core strength and flexibility, spend a bit of time upside down, or you just want to be able to get up and down off the floor without falling over, then it’s worth trying a class.",10/4/2019,,2019-03-29 JAL - data acquired from their website,,8,,Young adults;,Older adults;,Young adults;Older adults;,,,,,,,,,,,,,,,Buckingham,AV North,New Entry
3010,Active,Exercise,,,,Entertainment and leisure;,,,,,Entertainment and leisure;,Buckingham,,Gymnastics Parent & Toddler Group,Monday;,,,,,,,Monday;,TRUE,Monday 13:30-15:00,"Sports Hall, Lace Hill Community Centre, Catchpin Street, Buckingham
Buckingham",MK18 7RR,,,,https://www.lacehillgymnastics.com/,via website,"Bringing passion, fun and family unity into the Buckingham community.",10/4/2019,,2019-03-29 JAL - data acquired from their website,,8,Young people;,Young adults;,,Young people;Young adults;,,,,,,,,,,,,,,,Buckingham,AV North,New Entry
3011,Active,Exercise,,,,Entertainment and leisure;,,,,,Entertainment and leisure;,Buckingham,,Gymastics,Monday;,,Wednesday;,Thursday;,,Saturday;,Sunday;,Monday;Wednesday;Thursday;Saturday;Sunday;,TRUE,"Monday, Thursday 15:45-18:00, Wednesday 16:00-18:00, Saturday 10:00-14:00","Sports Hall, Lace Hill Community Centre, Catchpin Street, Buckingham
Buckingham",MK18 7RR,,,,https://www.lacehillgymnastics.com/,Via Website,Please contact for further information,10/4/2019,,2019-03-29 JAL - data acquired from their website,,8,Young people;,Young adults;,,Young people;Young adults;,,,,,,,,,,,,,,,Buckingham,AV North,New Entry
3012,Active,Exercise,,,,Entertainment and leisure;,,,,,Entertainment and leisure;,Buckingham,,Zumba - Lace Hill,Monday;,,,,,,,Monday;,TRUE,"Monday, Tuesday 18:30-20:00, Tuesday 10:00-11:00","Sports Hall, Lace Hill Community Centre, Catchpin Street, Buckingham
Buckingham",MK18 7RR,,,07840 711790,https://www.knightslanguages.co.uk/,zumba@bhiveentertainments.com,Please contact for further details,10/4/2019,,2019-03-29 JAL - data acquired from their website,,8,,Young adults;,Older adults;,Young adults;Older adults;,,,,,,,,,,,,,,,Buckingham,AV North,New Entry
3013,Learning,Arts/Crafts,,,,Entertainment and leisure;,,,,,Entertainment and leisure;,Buckingham,Knights Languages,Italian Classes,Monday;,,,,,,,Monday;,FALSE,Monday 19:20-21:30,"Committee Room, Lace Hill Community Centre, Catchpin Street, Buckingham
Buckingham",MK18 7RR,,,07840 711790,https://www.knightslanguages.co.uk/,knightslanguages@gmail.com,Please contact for further details,10/4/2019,,2019-03-29 JAL - data acquired from their website,,,,Young adults;,Older adults;,Young adults;Older adults;,,,,,,,,,,,,,,,Buckingham,AV North,New Entry
3014,Active,Exercise,,,,Entertainment and leisure;,,,,,Entertainment and leisure;,Buckingham,,Beginners Yoga,,Tuesday;,,,,,,Tuesday;,TRUE,Tuesday 09:30-10:45,"Committee Room, Lace Hill Community Centre, Catchpin Street, Buckingham
Buckingham",MK18 7RR,,Maxine Siggers,07776  133824,,,Please contact for further details,10/4/2019,,2019-03-29 JAL - data acquired from their website,,8,,Young adults;,Older adults;,Young adults;Older adults;,,,,,,,,,,,,,,,Buckingham,AV North,New Entry
3015,Active,Exercise,,,,Entertainment and leisure;,,,,,Entertainment and leisure;,Buckingham,,Zenshin,,Tuesday;,,,,,,Tuesday;,FALSE,Tuesday 17:00 - 20:00,"Sports Hall, Lace Hill Community Centre, Catchpin Street, Buckingham
Buckingham",MK18 7RR,,,07944 572672 / 07970 687403,www.firepunch.uk,student@zenshinkai.com,Please contact us for further information,10/4/2019,,2019-03-29 JAL - data acquired from their website,,,Young people;,Young adults;,Older adults;,Young people;Young adults;Older adults;,,,,,,,,,,,,,,,Buckingham,AV North,New Entry
3016,Social,Music/Drama,"Arts, Crafts, Music and Drama;",,,,,,,,"Arts, Crafts, Music and Drama;",Buckingham,,Glee Club UK,,Tuesday;,,,,,,Tuesday;,FALSE,Tuesday 19:30-21:30,"Committee Room, Lace Hill Community Centre, Catchpin Street, Buckingham
Buckingham",MK18 7RR,,Terri Martin,07900 210969,https://www.gleeclubuk.com,"
terri@gleeclubuk.com","Our choirs provide a fantastic opportunity for singing, laughter, education and socialising. During the term-time weekly sessions, members learn versions of favourite rock and pop songs in beautiful four part harmony.",10/4/2019,,2019-03-29 JAL - data acquired from their website,,,Young people;,Young adults;,Older adults;,Young people;Young adults;Older adults;,,,,,,,,,,,,,,,Buckingham,AV North,New Entry
3017,Active,Exercise,,,,Entertainment and leisure;,,,,,Entertainment and leisure;,Buckingham,,Blue Sky Yoga,,,Wednesday;,,,,,Wednesday;,TRUE,Wednesday 11:00-12:30,"Committee Room, Lace Hill Community Centre, Catchpin Street, Buckingham
Buckingham",MK18 7RR,,,,,kathybluesky.yoga@gmail.com,Please contact for further details,10/4/2019,,2019-03-29 JAL - data acquired from their website,,8,,Young adults;,Older adults;,Young adults;Older adults;,,,,,,,,,,,,,,,Buckingham,AV North,New Entry
3018,Learning,Social,,,,Entertainment and leisure;,,,,,Entertainment and leisure;,Buckingham,,Sing and Sign,,,,Thursday;,,,,Thursday;,TRUE,Thursday 10:00-12:00,"Committee Room, Lace Hill Community Centre, Catchpin Street, Buckingham
Buckingham",MK18 7RR,,Helen Brawn,07906 055591,https://www.singandsign.co.uk,helenbrawn@singandsign.co.uk,"What is baby signing? Babies use all kinds of signs and gestures as a natural part of learning to talk. Encouraging your baby with extra signs like milk, more, change nappy or tired will help your baby communicate.",10/4/2019,,2019-03-29 JAL - data acquired from their website,,8,Young people;,Young adults;,,Young people;Young adults;,,,,,,,,,,,,,,,Buckingham,AV North,New Entry
3019,Cultural,Organisation,,Community resouces;,,,,,,,Community resouces;,Waddesdon,Rothschild Foundation,,Monday;,Tuesday;,Wednesday;,Thursday;,Friday;,Saturday;,Sunday;,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;,TRUE,Daily 09:00-17:00,"The Dairy, Queen Street, Waddesdon",HP18 0JW,,,01296 653208,https://rothschildfoundation.org.uk/,info@rothschildfoundation.org.uk,"The work of the Foundation includes promoting Waddesdon Manor, managing the building and its collections of art, awarding grants to charities and undertaking a range of initiatives",8/4/2019,,2019-04-08 JAL - List provided by internal BCC,,8,,Young adults;,Older adults;,Young adults;Older adults;,,,,,,,,,,,,,,,Waddesdon,AV Central,New Entry
3020,Cultural,Organisation,,Community resouces;,,,,,,,Community resouces;,Chalfont St Giles,Chiltern Open Air Museum,,Monday;,Tuesday;,Wednesday;,Thursday;,Friday;,Saturday;,Sunday;,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;,TRUE,March-October Daily 10:00-17:00,"Newland Park, Gorelands Lane, Chalfont St Giles",HP8 4AB,,,01494 871117,https://www.coam.org.uk/,enquiries@coam.org.uk,A charity that rescues threatened historic buildings which would otherwise be demolished. The museum has a working farm with livestock and offers an extensive programme of events,8/4/2019,,2019-04-08 JAL - List provided by internal BCC,,8,Young people;,Young adults;,Older adults;,Young people;Young adults;Older adults;,,,,,,,,,,,,,,,The Chalfonts,Southern,New Entry
3073,Active,Exercise,,,,Entertainment and leisure;,Social groups;,,,,Entertainment and leisure;Social groups;,Chilterns,,Chiltern Young Walkers,,,,,,Saturday;,Sunday;,Saturday;Sunday;,TRUE,Weekends,Chiltern Hills,,,,,www.chilterns2030s.org.uk,info@chilterns2030s.org.uk,Please check our website for more information,2/5/2019,,2019-05-02 JAL - King's Church newsletter,JAL,8,,Young adults;,,Young adults;,,,,,,,,,,,,,,,Amersham,Amersham and Chesham,-To Review
3049,Support,Organisation;Support,,,,,,,Support and assistance;,,Support and assistance;,Countywide,BCCN Bucks Community Childminding Network,,,,,,,,,,FALSE,,countywide,HP20 1UA,,,07740 106986,https://extranet.buckscc.gov.uk/early-years/childminders-and-nannies/bccn/,eydcp@buckscc.gov.uk,Referal service only. BCCN is an intervention measure and not deemed to be a long term package of care. It may enable families to access other services as part of the intervention plan or provide a safe and stimulating environment for a child in need.,9/4/2019,,2019-04-09 JAL - List provided by venue,,,Young people;,,,Young people;,,,Learning difficulties;,,,,Hearing or visual impairment;,Learning difficulties;Hearing or visual impairment;,,,,,,,Countywide,Countywide,New Entry
3050,Active,Exercise;Music/Drama;Social,"Arts, Crafts, Music and Drama;",,,Entertainment and leisure;,,,,,"Arts, Crafts, Music and Drama;Entertainment and leisure;",Buckingham,,Ceroc - Buckingham,Monday;,,,,,,,Monday;,FALSE,Monday 19:30-11:45,"Buckingham Community Centre, Cornwalls Meadow, Buckingham",MK18 1RP,,Rachel Pears,01604 400287,https://www.ceroc.com/24/131/ceroc-buckingham?id=103,rachelhome74@gmail.com,"Buckingham has become one of the most talked about venues on the dance circuit. Monday nights are buzzing with around 100 dancers every week.  Beginners are welcome every week, no need to book, just turn up alone or with friends.",9/4/2019,,2019-04-09 JAL - List provided by venue,,,,Young adults;,Older adults;,Young adults;Older adults;,,,,,,,,,,,,,,,Buckingham,AV North,New Entry
3051,Support,Support,,,,,,Support and community groups;,,,Support and community groups;,Buckingham,,Slimming World - Buckingham,,Tuesday;,,,,,,Tuesday;,FALSE,"Tuesday 09:30, 15:30, 17:30, 19:30","Buckingham Community Centre, Cornwalls Meadow, Buckingham",MK18 1RP,,Lynda,07568 585595,https://www.slimmingworld.co.uk/nearest-group-search?query=mk18%201rp,,"Two of the most important ingredients in a successful slimming campaign are commitment and motivation. That’s why Slimming World developed a unique system of 6 and 12-week Countdown courses, which you can benefit from at any time of the year.",9/4/2019,,2019-04-09 JAL - List provided by venue,,,,Young adults;,Older adults;,Young adults;Older adults;,,,,,,,,,,,,,,,Buckingham,AV North,New Entry
3052,Active,Exercise,,,,Entertainment and leisure;,,,,,Entertainment and leisure;,Buckingham,,Hatha Yoga & Relaxation,,Tuesday;,,,,,,Tuesday;,FALSE,Tuesday 19:00-20:15,"Buckingham Community Centre, Cornwalls Meadow, Buckingham",MK18 1RP,,Via Website,,https://www.buckingham-yoga.co.uk/,,"Slow steady holds, reducing stress, improving posture & strength.",9/4/2019,,2019-04-09 JAL - List provided by venue,,,,Young adults;,Older adults;,Young adults;Older adults;,,,,,,,,,,,,,,,Buckingham,AV North,New Entry
3053,Active,Exercise,,,,Entertainment and leisure;,,,,,Entertainment and leisure;,Buckingham,Active-In,Walking Netball - Buckingham,,,,Thursday;,,,,Thursday;,FALSE,Thursday 19:00-20:00,"Buckingham Community Centre, Cornwalls Meadow, Buckingham",MK18 1RP,,Christopher Bryden,07562 756072,,cbryden@leapwithus.org.uk,"Walking Netball - A slower version of the well loved game, allowing you to join in and have fun but at a pace you feel comfortable with.",9/4/2019,,2019-04-09 JAL - List provided by venue,,,,,Older adults;,Older adults;,,,,,Older people;,,,Older people;,,,,,,,Buckingham,AV North,New Entry
3054,Social,Social,,,,Entertainment and leisure;,Social groups;,,,,Entertainment and leisure;Social groups;,Buckingham,,Whist Drive - Buckingham,,,,,Friday;,,,Friday;,FALSE,Friday - twice monthly,"Buckingham Community Centre, Cornwalls Meadow, Buckingham",MK18 1RP,,,,,,,9/4/2019,,2019-04-09 JAL - List provided by venue,,,,Young adults;,Older adults;,Young adults;Older adults;,,,,,,,,,,,,,,,Buckingham,AV North,New Entry
3055,,Faith;Social,,,,,,,,,,Buckingham,,,,,,,,,Sunday;,Sunday;,FALSE,Sunday 18:30,"Buckingham Community Centre, Cornwalls Meadow, Buckingham",,,,,,,,9/4/2019,,2019-04-09 JAL - List provided by venue,,,,Young adults;,Older adults;,Young adults;Older adults;,,,,,,,,,,,,,,,Buckingham,AV North,New Entry
3065,Social,Social,,,,Entertainment and leisure;,,,,,Entertainment and leisure;,Buckingham,,Buckingham Bridge Club,Monday;,,,,,,,Monday;,FALSE,Monday 19:00-22:00,"The Centre, Verney Close, Buckingham",MK18 1JP,,Mike Ellis / Bryan W-Thomas,01280 812592 / 813664,,,If you would like to arrange an evening's play or to find out more about the club please contact us,15/4/2019,,2019-04-15 JAL - notice boards at venues,,,,Young adults;,Older adults;,Young adults;Older adults;,,,,,,,,,,,,,,,Buckingham,AV North,New Entry
3066,Social,Music/Drama,"Arts, Crafts, Music and Drama;",,,,Social groups;,,,,"Arts, Crafts, Music and Drama;Social groups;",Brackley,,Morris Men - Buckingham,,,,Thursday;,,,,Thursday;,FALSE,Thursday 20:00-22:00,"C of E Junior School, Manor Road, Brackley",NN13 6EE,,Stephen / Colin,07764 799947 / 01604 832830,,,"All you need is a little rhythm, a bundle of energy, an enjoyment of teamwork and a big smile on your face, we will teach you the rest",15/4/2019,,2019-04-15 JAL - notice boards at venues,,,,Young adults;,Older adults;,Young adults;Older adults;,,,,,,,,,,,,,,,Buckingham,AV North,New Entry
3067,Social,Exercise;Music/Drama;Social,,,,Entertainment and leisure;,Social groups;,,,,Entertainment and leisure;Social groups;,Gawcott,,Square Dance Club,,,Wednesday;,,,,,Wednesday;,FALSE,Wednesday 19:30-21:30,"Gawcott Village Hall, Buckingham Road, Buckingham",MK18 4JD,£2,Susie,01280 816940,,susie@graybo.co.uk,"Come and share our laughter, exercise your brain and body plus your smile muscles",15/4/2019,,2019-04-15 JAL - notice boards at venues,,,,Young adults;,Older adults;,Young adults;Older adults;,,,,,,,,,,,,,,,Buckingham,AV North,New Entry
3068,Social,Arts/Crafts;Social,,,,Entertainment and leisure;,Social groups;,,,,Entertainment and leisure;Social groups;,Buckingham,,Board Games Café,,,,Thursday;,,,,Thursday;,TRUE,Thursday 10:00-12:00,"The Centre, Verney Close, Buckingham",MK18 1JP,,Jo Ash,07967 201954,,,"Open to all, no charge but donations welcome.  Come and meet some new friends.  If you need transport please let us know",15/4/2019,,2019-04-15 JAL - notice boards at venues,,8,,Young adults;,Older adults;,Young adults;Older adults;,,,,,,,,,,,,,,,Buckingham,AV North,New Entry
3069,Active,Exercise,,,,Entertainment and leisure;,,,,,Entertainment and leisure;,Buckingham,,Fitness for all,,,Wednesday;,,,,,Wednesday;,TRUE,Wednesdays 12:00-12:45,"The Centre, Verney Close, Buckingham",MK18 1JP,,Sandra Pratt,07775 428594,,sandrapratt45@yahoo.co.uk,"Gentle exercise sessions (mainly chair based) helping with weight control, muscle tone, posture, suppleness, strength, flexibility, cardiovascular fitness, mobility, back pain, balance, co-ordination, breath control and relaxation",15/4/2019,,2019-04-15 JAL - notice boards at venues,,8,,,Older adults;,Older adults;,,,,,Older people;,,,Older people;,,,,,,,Buckingham,AV North,New Entry
3070,Support,Organisation,,Community resouces;,,,,,,,Community resouces;,Bucks County,Trust in Blue,,Monday;,Tuesday;,Wednesday;,Thursday;,Friday;,,,Monday;Tuesday;Wednesday;Thursday;Friday;,FALSE,,Countywide,HP20 1UA,,Nick Orde-Powlett,0800 255 0 255,www.trustinblue.com,,Retired local police officers in Bucks join forces to provide uniquely trusted and highly vetted handyman and decorating service with ‘Trust in Blue’. Can handle smaller jobs than other tradesmen.,23/4/2019,,2019-04-23 JAL - From BOPAG newsletter,,,,Young adults;,Older adults;,Young adults;Older adults;,,,,,,,,,Yes,Yes,Yes,Yes,,,Countywide,Countywide,New Entry
3071,,,,Community resouces;,,,,,Support and assistance;,,Community resouces;Support and assistance;,Aylesbury Vale and South Bucks,Community Impact Bucks,Handy Helpers,Monday;,Tuesday;,Wednesday;,Thursday;,Friday;,,,Monday;Tuesday;Wednesday;Thursday;Friday;,TRUE,,,HP20 1UA,,Samantha Hardy,01844 348823,,,"Service to help elderly, vulnerable and isolated local residents with small tasks around the home which they can’t or daren’t do for themselves.  Includes small repairs, maintenance, safety/security measures and energy efficiency checks",23/4/2019,,2019-04-23 JAL - From BOPAG newsletter,,8,,Young adults;,Older adults;,Young adults;Older adults;,,,,,Older people;,Physical disability;,,Older people;Physical disability;,Yes,Yes,Yes,Yes,,,Greater Aylesbury,AV South,New Entry
3072,Support,Support,,,,,,Support and community groups;,,,Support and community groups;,Aylesbury,,Hoarder Support Group,,,,,,,,,FALSE,Monthly various dates 17:30-19:30,"Aylesbury Fire Station, Garside Way, Stocklake, Aylesbury",HP20 1BD,,Elaine,01296 585364,,ehassall@aylesburyvaledc.gov.uk,"Provide a safe place to speak to others with similar issues and get information and advice. The group meets monthly and light buffet refreshments are provided. No need to book, just pop in, phone to check dates of meetings.",23/4/2019,,2019-04-23 JAL - From BOPAG newsletter,,,,Young adults;,Older adults;,Young adults;Older adults;,,,,Mental health;,,,,Mental health;,,,,,,,Greater Aylesbury,AV Central,New Entry
